Entry,Gene Names,Protein families
B1XC64,mraY ECDH10B_0069,"Glycosyltransferase 4 family, MraY subfamily"
B1XC67,murG ECDH10B_0072,"Glycosyltransferase 28 family, MurG subfamily"
B1XC68,murC ECDH10B_0073,MurCDEF family
B1XC73,lpxC ECDH10B_0078,LpxC family
B1XC75,secA ECDH10B_0080,SecA family
B1XC80,guaC ECDH10B_0085,"IMPDH/GMPR family, GuaC type 1 subfamily"
B1XC95,speD ECDH10B_0100,"Prokaryotic AdoMetDC family, Type 2 subfamily"
B1XC96,speE ECDH10B_0101,Spermidine/spermine synthase family
B1XCA6,panD ECDH10B_0111,PanD family
B1XCA8,panC ECDH10B_0113,Pantothenate synthetase family
B1XCA9,panB ECDH10B_0114,PanB family
B1XCH3,ttcA ECDH10B_1465,TtcA family
B1XCM5,alaS ECDH10B_2865,Class-II aminoacyl-tRNA synthetase family
B1XCN6,norR ECDH10B_2877,
B1XCN7,norV flrD ECDH10B_2878,Zinc metallo-hydrolase group 3 family
B1XCN8,norW flrR ECDH10B_2879,FAD-dependent oxidoreductase family
B1XCR9,pcm ECDH10B_2911,"Methyltransferase superfamily, L-isoaspartyl/D-aspartyl protein methyltransferase family"
B1XCS0,surE ECDH10B_2912,SurE nucleotidase family
B1XCS1,truD ECDH10B_2913,Pseudouridine synthase TruD family
B1XCS2,ispF ECDH10B_2914,IspF family
B1XCS6,cysC ECDH10B_2918,APS kinase family
B1XCS7,cysN ECDH10B_2919,"TRAFAC class translation factor GTPase superfamily, Classic translation factor GTPase family, CysN/NodQ subfamily"
B1XCV6,nrfA ECDH10B_4260,Cytochrome c-552 family
B1XD24,hemL ECDH10B_0134,"Class-III pyridoxal-phosphate-dependent aminotransferase family, HemL subfamily"
B1XD25,clcA eriC ECDH10B_0135,"Chloride channel (TC 2.A.49) family, ClcA subfamily"
B1XD29,mtnN ECDH10B_0139,"PNP/UDP phosphorylase family, MtnN subfamily"
B1XD36,glnD ECDH10B_0146,GlnD family
B1XD49,fabZ ECDH10B_0160,"Thioester dehydratase family, FabZ subfamily"
B1XD52,rnhB ECDH10B_0163,RNase HII family
B1XD54,accA ECDH10B_0165,AccA family
B1XD78,rnhA ECDH10B_0195,RNase H family
B1XD84,gmhA ECDH10B_0204,"SIS family, GmhA subfamily"
B1XDF5,patD ECDH10B_1574,"Aldehyde dehydrogenase family, Gamma-aminobutyraldehyde dehydrogenase subfamily"
B1XDH5,cysH ECDH10B_2930,"PAPS reductase family, CysH subfamily"
B1XDI9,eno ECDH10B_2946,Enolase family
B1XDK3,queF ECDH10B_2963,"GTP cyclohydrolase I family, QueF type 2 subfamily"
B1XDK7,xni ygdG ECDH10B_2967,Xni family
B1XDL1,fucI ECDH10B_2971,L-fucose isomerase family
B1XDL3,fucU ECDH10B_2973,"RbsD / FucU family, FucU mutarotase subfamily"
B1XDL5,rlmM ECDH10B_2975,"Class I-like SAM-binding methyltransferase superfamily, RNA methyltransferase RlmE family, RlmM subfamily"
B1XDP2,aas ECDH10B_3006,2-acyl-GPE acetyltransferase family; ATP-dependent AMP-binding enzyme family
B1XDP7,groEL groL ECDH10B_4336,Chaperonin (HSP60) family
B1XDQ9,epmA yjeA ECDH10B_4350,"Class-II aminoacyl-tRNA synthetase family, EpmA subfamily"
B1XDR4,psd ECDH10B_4355,"Phosphatidylserine decarboxylase family, PSD-B subfamily, Prokaryotic type I sub-subfamily"
B1XDR5,rsgA ECDH10B_4356,"TRAFAC class YlqF/YawG GTPase family, RsgA subfamily"
B1XDS2,miaA ECDH10B_4366,IPP transferase family
B1XDS8,purA ECDH10B_4372,Adenylosuccinate synthetase family
B1XDU7,ulaD ECDH10B_4391,"HPS/KGPDC family, KGPDC subfamily"
B1XDU9,ulaF ECDH10B_4393,"Aldolase class II family, AraD/FucA subfamily"
B1XDY5,proB ECDH10B_0224,Glutamate 5-kinase family
B1XE52,betA ECDH10B_0298,GMC oxidoreductase family
B1XE70,maeA ECDH10B_1610,Malic enzymes family
B1XEA6,lsrG ECDH10B_1649,LsrG family
B1XED7,kduI ECDH10B_3015,KduI family
B1XEG2,hyuA ECDH10B_3048,"Metallo-dependent hydrolases superfamily, Hydantoinase/dihydropyrimidinase family"
B1XEH6,idi ECDH10B_3063,IPP isomerase type 1 family
B1XEJ0,gcvP ECDH10B_3077,GcvP family
B1XEJ9,rpiA ECDH10B_3089,Ribose 5-phosphate isomerase family
B1XEL0,epd ECDH10B_3102,"Glyceraldehyde-3-phosphate dehydrogenase family, Epd subfamily"
B1XEL4,fbp ECDH10B_4427,FBPase class 1 family
B1XEM6,pyrB ECDH10B_4440,"Aspartate/ornithine carbamoyltransferase superfamily, ATCase family"
B1XEN9,pepA ECDH10B_4453,Peptidase M17 family
B1XET7,betB ECDH10B_0299,Aldehyde dehydrogenase family
B1XEX7,aroL ECDH10B_0345,"Shikimate kinase family, AroL subfamily"
B1XEZ4,tgt ECDH10B_0362,Queuine tRNA-ribosyltransferase family
B1XF03,ribH ECDH10B_0371,DMRL synthase family
B1XF08,dxs ECDH10B_0376,"Transketolase family, DXPS subfamily"
B1XF88,add ECDH10B_1756,"Metallo-dependent hydrolases superfamily, Adenosine and AMP deaminases family, Adenosine deaminase subfamily"
B1XF93,rsxB ECDH10B_1762,"4Fe4S bacterial-type ferredoxin family, RnfB subfamily"
B1XFA4,metK ECDH10B_3117,AdoMet synthase family
B1XFC3,mltC ECDH10B_3138,Transglycosylase Slt family
B1XFJ1,deoC ECDH10B_4539,"DeoC/FbaB aldolase family, DeoC type 2 subfamily"
B1XFJ3,deoB ECDH10B_4541,Phosphopentomutase family
B1XFJ4,deoD ECDH10B_4542,PNP/UDP phosphorylase family
B1XFJ6,lplA ECDH10B_4544,LplA family
B1XFK4,yjjX ECDH10B_4552,YjjX NTPase family
B1XFK5,gpmB ECDH10B_4553,"Phosphoglycerate mutase family, GpmB subfamily"
B1XFL6,cyoE ECDH10B_0384,"UbiA prenyltransferase family, Protoheme IX farnesyltransferase subfamily"
B1XFM4,tig ECDH10B_0392,"FKBP-type PPIase family, Tig subfamily"
B1XFM6,clpX ECDH10B_0394,ClpX chaperone family
B1XFN2,queC ECDH10B_0400,QueC family
B1XFQ6,apt ECDH10B_0425,Purine/pyrimidine phosphoribosyltransferase family
B1XFR1,adk ECDH10B_0430,Adenylate kinase family
B1XFR2,hemH ECDH10B_0431,Ferrochelatase family
B1XFT8,selU ECDH10B_0459,SelU family
B1XFU0,allA ECDH10B_0461,Ureidoglycolate lyase family
B1XFU1,rsxC ECDH10B_1763,"4Fe4S bacterial-type ferredoxin family, RnfC subfamily"
B1XFU9,tyrS ECDH10B_1771,"Class-I aminoacyl-tRNA synthetase family, TyrS type 1 subfamily"
B1XFV0,pdxH ECDH10B_1772,Pyridoxamine 5'-phosphate oxidase family
B1XFV2,anmK ECDH10B_1774,Anhydro-N-acetylmuramic acid kinase family
B1XFY8,sufS ECDH10B_1814,"Class-V pyridoxal-phosphate-dependent aminotransferase family, Csd subfamily"
B1XG00,ydiB ECDH10B_1828,Shikimate dehydrogenase family
B1XG01,aroD ECDH10B_1829,Type-I 3-dehydroquinase family
B1XG10,ppsR ECDH10B_1839,"Pyruvate, phosphate/water dikinase regulatory protein family, PSRP subfamily"
B1XG13,selO ECDH10B_1842,SELO family
B1XG16,btuD ECDH10B_1845,"ABC transporter superfamily, Vitamin B12 importer (TC 3.A.1.13.1) family"
B1XG21,pheS ECDH10B_1850,"Class-II aminoacyl-tRNA synthetase family, Phe-tRNA synthetase alpha subunit type 1 subfamily"
B1XG46,ribB ECDH10B_3215,DHBP synthase family
B1XG58,glnE ECDH10B_3228,GlnE family
B1XG61,cca ECDH10B_3231,"TRNA nucleotidyltransferase/poly(A) polymerase family, Bacterial CCA-adding enzyme type 1 subfamily"
B1XG62,uppP ECDH10B_3232,UppP family
B1XG64,plsY ygiH ECDH10B_3234,PlsY family
B1XG69,tsaD gcp ECDH10B_3239,KAE1 / TsaD family
B1XGB0,allB ECDH10B_0468,"Metallo-dependent hydrolases superfamily, Allantoinase family"
B1XGC2,lpxH ECDH10B_0480,LpxH family
B1XGC7,folD ECDH10B_0485,Tetrahydrofolate dehydrogenase/cyclohydrolase family
B1XGI1,thrS ECDH10B_1855,Class-II aminoacyl-tRNA synthetase family
B1XGJ4,chbG ECDH10B_1871,"YdjC deacetylase family, ChbG subfamily"
B1XGK1,nadE ECDH10B_1878,NAD synthetase family
B1XGK5,astE ECDH10B_1882,"AspA/AstE family, Succinylglutamate desuccinylase subfamily"
B1XGK7,astD ECDH10B_1884,"Aldehyde dehydrogenase family, AstD subfamily"
B1XGK9,astC argM ECDH10B_1886,"Class-III pyridoxal-phosphate-dependent aminotransferase family, AstC subfamily"
B1XGN8,msrB ECDH10B_1916,MsrB Met sulfoxide reductase family
B1XGT9,garL ECDH10B_3299,"HpcH/HpaI aldolase family, KDGluc aldolase subfamily"
B1XGU9,kbaY ECDH10B_3310,"Class II fructose-bisphosphate aldolase family, TagBP aldolase KbaY subfamily"
B1XGX6,pnp ECDH10B_3337,Polyribonucleotide nucleotidyltransferase family
B1XGY0,infB ECDH10B_3342,"TRAFAC class translation factor GTPase superfamily, Classic translation factor GTPase family, IF-2 subfamily"
B1XGY3,argG ECDH10B_3346,"Argininosuccinate synthase family, Type 2 subfamily"
B1XGY6,glmM ECDH10B_3350,Phosphohexose mutase family
B1XGY9,rlmE ftsJ rrmJ ECDH10B_3353,"Class I-like SAM-binding methyltransferase superfamily, RNA methyltransferase RlmE family"
B1XHA3,rsmF ECDH10B_1974,"Class I-like SAM-binding methyltransferase superfamily, RsmB/NOP family"
B1XHB7,purT ECDH10B_1990,PurK/PurT family
B1XHC8,ruvB ECDH10B_2001,RuvB family
B1XHC9,ruvA ECDH10B_2002,RuvA family
B1XHD1,ruvC ECDH10B_2004,RuvC family
B1XHD4,aspS ECDH10B_2007,"Class-II aminoacyl-tRNA synthetase family, Type 1 subfamily"
B1XHF9,obg ECDH10B_3357,"TRAFAC class OBG-HflX-like GTPase superfamily, OBG GTPase family"
B1XHI3,mtgA ECDH10B_3382,Glycosyltransferase 51 family
B1XHJ5,nanK ECDH10B_3399,"ROK (NagC/XylR) family, NanK subfamily"
B1XHJ8,nanA ECDH10B_3402,"DapA family, NanA subfamily"
B8LFD6,lacZ,Glycosyl hydrolase 2 family
C1P607,ibsA b4667 JW2058.1,Ibs toxic protein family
C1P615,ibsC b4665 JW2879.1,Ibs toxic protein family
C1P616,ibsD b4664 JW3023.1,Ibs toxic protein family
C1P617,ibsE b4666 JW3023.2,Ibs toxic protein family
C4ZPU1,dnaJ BWG_0014,DnaJ family
C4ZPV2,ileS BWG_0024,"Class-I aminoacyl-tRNA synthetase family, IleS type 1 subfamily"
C4ZPV3,lspA BWG_0025,Peptidase A8 family
C4ZPV5,ispH BWG_0027,IspH family
C4ZPV7,dapB BWG_0029,DapB family
C4ZPW3,caiC BWG_0035,ATP-dependent AMP-binding enzyme family
C4ZPW4,caiB BWG_0036,"CoA-transferase III family, CaiB subfamily"
C4ZPX2,kefF BWG_0044,"NAD(P)H dehydrogenase (quinone) family, KefF subfamily"
C4ZPX3,kefC BWG_0045,"Monovalent cation:proton antiporter 2 (CPA2) transporter (TC 2.A.37) family, KefC subfamily"
C4ZPX7,rsmA ksgA BWG_0049,"Class I-like SAM-binding methyltransferase superfamily, rRNA adenine N(6)-methyltransferase family, RsmA subfamily"
C4ZPX8,pdxA BWG_0050,PdxA family
C4ZPY3,rapA BWG_0055,"SNF2/RAD54 helicase family, RapA subfamily"
C4ZPZ5,leuC BWG_0068,"Aconitase/IPM isomerase family, LeuC type 1 subfamily"
C4ZPZ7,leuA BWG_0070,"Alpha-IPM synthase/homocitrate synthase family, LeuA type 1 subfamily"
C4ZQ11,aat BWG_0737,L/F-transferase family
C4ZQ19,serS BWG_0745,"Class-II aminoacyl-tRNA synthetase family, Type-1 seryl-tRNA synthetase subfamily"
C4ZQ33,serC BWG_0759,"Class-V pyridoxal-phosphate-dependent aminotransferase family, SerC subfamily"
C4ZQ34,aroA BWG_0760,EPSP synthase family
C4ZQ50,mukB BWG_0776,"SMC family, MukB subfamily"
C4ZQ71,pyrD BWG_0797,"Dihydroorotate dehydrogenase family, Type 2 subfamily"
C4ZQ80,fabA BWG_0806,"Thioester dehydratase family, FabA subfamily"
C4ZQD2,BWG_0858,WrbA family
C4ZQD5,rutF BWG_0861,"Non-flavoprotein flavin reductase family, RutF subfamily"
C4ZQE4,ruvB BWG_1674,RuvB family
C4ZQE5,ruvA BWG_1675,RuvA family
C4ZQE7,ruvC BWG_1677,RuvC family
C4ZQF0,aspS BWG_1680,"Class-II aminoacyl-tRNA synthetase family, Type 1 subfamily"
C4ZQP1,msrP BWG_1772,MsrP family
C4ZQP5,mtfA BWG_1776,MtfA family
C4ZQQ5,cobS BWG_1786,CobS family
C4ZQV9,ribB BWG_2753,DHBP synthase family
C4ZQX0,glnE BWG_2764,GlnE family
C4ZQX3,cca BWG_2767,"TRNA nucleotidyltransferase/poly(A) polymerase family, Bacterial CCA-adding enzyme type 1 subfamily"
C4ZQX4,uppP BWG_2768,UppP family
C4ZQX6,plsY ygiH BWG_2770,PlsY family
C4ZQY1,tsaD gcp BWG_2775,KAE1 / TsaD family
C4ZR38,garL BWG_2832,"HpcH/HpaI aldolase family, KDGluc aldolase subfamily"
C4ZR47,kbaY BWG_2841,"Class II fructose-bisphosphate aldolase family, TagBP aldolase KbaY subfamily"
C4ZR48,miaA BWG_3883,IPP transferase family
C4ZR54,purA BWG_3889,Adenylosuccinate synthetase family
C4ZR73,ulaD BWG_3908,"HPS/KGPDC family, KGPDC subfamily"
C4ZR75,ulaF BWG_3910,"Aldolase class II family, AraD/FucA subfamily"
C4ZRB8,pyrB BWG_3953,"Aspartate/ornithine carbamoyltransferase superfamily, ATCase family"
C4ZRI2,mraY BWG_0082,"Glycosyltransferase 4 family, MraY subfamily"
C4ZRI5,murG BWG_0085,"Glycosyltransferase 28 family, MurG subfamily"
C4ZRI6,murC BWG_0086,MurCDEF family
C4ZRJ1,lpxC BWG_0091,LpxC family
C4ZRJ3,secA BWG_0093,SecA family
C4ZRJ8,guaC BWG_0098,"IMPDH/GMPR family, GuaC type 1 subfamily"
C4ZRL3,speD BWG_0113,"Prokaryotic AdoMetDC family, Type 2 subfamily"
C4ZRL4,speE BWG_0114,Spermidine/spermine synthase family
C4ZRM4,panD BWG_0124,PanD family
C4ZRM6,panC BWG_0126,Pantothenate synthetase family
C4ZRM7,panB BWG_0127,PanB family
C4ZRP7,hemL BWG_0147,"Class-III pyridoxal-phosphate-dependent aminotransferase family, HemL subfamily"
C4ZRP8,clcA eriC BWG_0148,"Chloride channel (TC 2.A.49) family, ClcA subfamily"
C4ZRQ2,mtnN BWG_0152,"PNP/UDP phosphorylase family, MtnN subfamily"
C4ZRQ8,dapD BWG_0158,Transferase hexapeptide repeat family
C4ZRQ9,glnD BWG_0159,GlnD family
C4ZRS2,fabZ BWG_0172,"Thioester dehydratase family, FabZ subfamily"
C4ZRS5,rnhB BWG_0175,RNase HII family
C4ZRS7,accA BWG_0177,AccA family
C4ZRV1,rnhA BWG_0201,RNase H family
C4ZRV8,gmhA BWG_0208,"SIS family, GmhA subfamily"
C4ZRX4,ghrA BWG_0882,"D-isomer specific 2-hydroxyacid dehydrogenase family, GhrA subfamily"
C4ZS02,pyrC BWG_0910,"Metallo-dependent hydrolases superfamily, DHOase family, Class II DHOase subfamily"
C4ZS30,plsX BWG_0938,PlsX family
C4ZS47,nagZ BWG_0955,"Glycosyl hydrolase 3 family, NagZ subfamily"
C4ZS67,pepT BWG_0975,Peptidase M20B family
C4ZSA8,hisG BWG_1810,"ATP phosphoribosyltransferase family, Long subfamily"
C4ZSB4,hisF BWG_1816,HisA/HisF family
C4ZSF3,dcd BWG_1855,DCTP deaminase family
C4ZSH2,yegS BWG_1874,"Diacylglycerol/lipid kinase family, YegS lipid kinase subfamily"
C4ZSI0,gatY BWG_1882,"Class II fructose-bisphosphate aldolase family, TagBP aldolase GatY subfamily"
C4ZSI8,thiM BWG_1890,Thz kinase family
C4ZSJ8,metG BWG_1900,"Class-I aminoacyl-tRNA synthetase family, MetG type 1 subfamily"
C4ZSM3,cdd BWG_1925,Cytidine and deoxycytidylate deaminase family
C4ZSQ4,nlpI BWG_2867,
C4ZSQ5,pnp BWG_2868,Polyribonucleotide nucleotidyltransferase family
C4ZSQ9,infB BWG_2872,"TRAFAC class translation factor GTPase superfamily, Classic translation factor GTPase family, IF-2 subfamily"
C4ZSR2,argG BWG_2875,"Argininosuccinate synthase family, Type 2 subfamily"
C4ZSR5,glmM BWG_2878,Phosphohexose mutase family
C4ZSR8,rlmE ftsJ rrmJ BWG_2881,"Class I-like SAM-binding methyltransferase superfamily, RNA methyltransferase RlmE family"
C4ZSS8,murA BWG_2891,"EPSP synthase family, MurA subfamily"
C4ZSU7,mtgA BWG_2910,Glycosyltransferase 51 family
C4ZSW0,nanK BWG_2923,"ROK (NagC/XylR) family, NanK subfamily"
C4ZSW3,nanA BWG_2926,"DapA family, NanA subfamily"
C4ZT63,deoC BWG_4073,"DeoC/FbaB aldolase family, DeoC type 2 subfamily"
C4ZT65,deoB BWG_4075,Phosphopentomutase family
C4ZT66,deoD BWG_4076,PNP/UDP phosphorylase family
C4ZT68,lplA BWG_4078,LplA family
C4ZT76,yjjX BWG_4086,YjjX NTPase family
C4ZT77,gpmB BWG_4087,"Phosphoglycerate mutase family, GpmB subfamily"
C4ZT99,proB BWG_0224,Glutamate 5-kinase family
C4ZTB5,mhpF BWG_0240,Acetaldehyde dehydrogenase family
C4ZTE7,aroL BWG_0272,"Shikimate kinase family, AroL subfamily"
C4ZTG3,tgt BWG_0288,Queuine tRNA-ribosyltransferase family
C4ZTH2,ribH BWG_0297,DMRL synthase family
C4ZTH7,dxs BWG_0302,"Transketolase family, DXPS subfamily"
C4ZTJ3,tig BWG_0318,"FKBP-type PPIase family, Tig subfamily"
C4ZTJ5,clpX BWG_0320,ClpX chaperone family
C4ZTK1,queC BWG_0326,QueC family
C4ZTN4,emtA BWG_1018,Transglycosylase Slt family
C4ZTN8,treA BWG_1022,Glycosyl hydrolase 37 family
C4ZTP5,pth BWG_1029,PTH family
C4ZTP9,ispE BWG_1033,"GHMP kinase family, IspE subfamily"
C4ZTQ1,hemA BWG_1035,Glutamyl-tRNA reductase family
C4ZTX2,ribA BWG_1108,GTP cyclohydrolase II family
C4ZTX6,pyrF BWG_1112,"OMP decarboxylase family, Type 1 subfamily"
C4ZU03,folE BWG_1935,GTP cyclohydrolase I family
C4ZU09,nfo BWG_1941,AP endonuclease 2 family
C4ZU12,rihB BWG_1944,"IUNH family, RihB subfamily"
C4ZU39,ccmE cycJ BWG_1970,CcmE/CycJ family
C4ZU73,ubiG BWG_2004,"Methyltransferase superfamily, UbiG/COQ3 family"
C4ZU87,rhmA BWG_2018,"HpcH/HpaI aldolase family, KDR aldolase subfamily"
C4ZU89,rhmD BWG_2020,"Mandelate racemase/muconate lactonizing enzyme family, RhamD subfamily"
C4ZU95,arnB BWG_2026,"DegT/DnrJ/EryC1 family, ArnB subfamily"
C4ZU96,arnC BWG_2027,Glycosyltransferase 2 family
C4ZUA4,menC BWG_2035,"Mandelate racemase/muconate lactonizing enzyme family, MenC type 1 subfamily"
C4ZUA7,menD BWG_2038,"TPP enzyme family, MenD subfamily"
C4ZUB9,nuoN BWG_2050,Complex I subunit 2 family
C4ZUC2,nuoK BWG_2053,Complex I subunit 4L family
C4ZUC5,nuoH BWG_2056,Complex I subunit 1 family
C4ZUD0,nuoB BWG_2061,Complex I 20 kDa subunit family
C4ZUD6,aroE BWG_2972,Shikimate dehydrogenase family
C4ZUE3,rsmB sun BWG_2979,"Class I-like SAM-binding methyltransferase superfamily, RsmB/NOP family"
C4ZUH2,rplB BWG_3008,Universal ribosomal protein uL2 family
C4ZUK7,kefG BWG_3043,"NAD(P)H dehydrogenase (quinone) family, KefG subfamily"
C4ZUP4,aroB BWG_3080,"Sugar phosphate cyclases superfamily, Dehydroquinate synthase family"
C4ZUQ8,pckA BWG_3094,Phosphoenolpyruvate carboxykinase (ATP) family
C4ZUR7,bioH BWG_3103,"AB hydrolase superfamily, Carboxylesterase BioH family"
C4ZUS3,apt BWG_0350,Purine/pyrimidine phosphoribosyltransferase family
C4ZUS8,adk BWG_0355,Adenylate kinase family
C4ZUS9,hemH BWG_0356,Ferrochelatase family
C4ZUV3,selU BWG_0380,SelU family
C4ZUW1,allB BWG_0388,"Metallo-dependent hydrolases superfamily, Allantoinase family"
C4ZUX2,lpxH BWG_0399,LpxH family
C4ZUX7,folD BWG_0404,Tetrahydrofolate dehydrogenase/cyclohydrolase family
C4ZV92,ttcA BWG_1178,TtcA family
C4ZVI3,patD BWG_1269,"Aldehyde dehydrogenase family, Gamma-aminobutyraldehyde dehydrogenase subfamily"
C4ZVI4,yfbR BWG_2065,5DNU family
C4ZVL1,truA BWG_2092,TRNA pseudouridine synthase TruA family
C4ZVL3,pdxB BWG_2094,"D-isomer specific 2-hydroxyacid dehydrogenase family, PdxB subfamily"
C4ZVM1,mepA BWG_2102,Peptidase M74 family
C4ZVM2,aroC BWG_2103,Chorismate synthase family
C4ZVN3,fadI BWG_2114,"Thiolase-like superfamily, Thiolase family"
C4ZVU9,pdxK BWG_2180,"Pyridoxine kinase family, PdxK subfamily"
C4ZVV8,murR BWG_2189,
C4ZVV9,murQ BWG_2190,"GCKR-like family, MurNAc-6-P etherase subfamily"
C4ZVX0,malT BWG_3112,MalT family
C4ZVY0,glgC BWG_3122,Bacterial/plant glucose-1-phosphate adenylyltransferase family
C4ZVY1,glgX BWG_3123,Glycosyl hydrolase 13 family
C4ZW66,treF BWG_3208,Glycosyl hydrolase 37 family
C4ZWB5,lipA BWG_0499,"Radical SAM superfamily, Lipoyl synthase family"
C4ZWB7,lipB BWG_0501,LipB family
C4ZWC8,lptE rlpB BWG_0512,LptE lipoprotein family
C4ZWF4,nagB BWG_0538,"Glucosamine/galactosamine-6-phosphate isomerase family, NagB subfamily"
C4ZWF6,glnS BWG_0540,Class-I aminoacyl-tRNA synthetase family
C4ZWH3,kdpB BWG_0557,"Cation transport ATPase (P-type) (TC 3.A.3) family, Type IA subfamily"
C4ZWI9,nei BWG_0573,FPG family
C4ZWK2,sucC BWG_0586,Succinate/malate CoA ligase beta subunit family
C4ZWP8,maeA BWG_1300,Malic enzymes family
C4ZX09,hemF BWG_2198,Aerobic coproporphyrinogen-III oxidase family
C4ZX13,eutC BWG_2202,EutC family
C4ZX46,dapE BWG_2235,"Peptidase M20A family, DapE subfamily"
C4ZX73,upp BWG_2262,UPRTase family
C4ZX74,purM BWG_2263,AIR synthase family
C4ZX82,guaA BWG_2271,
C4ZX90,ispG BWG_2279,IspG family
C4ZX91,rodZ BWG_2280,RodZ family
C4ZX93,ndk BWG_2282,NDK family
C4ZX98,pepB BWG_2287,Peptidase M17 family
C4ZXA5,iscS BWG_2294,"Class-V pyridoxal-phosphate-dependent aminotransferase family, NifS/IscS subfamily"
C4ZXB6,hcaB BWG_2305,Short-chain dehydrogenases/reductases (SDR) family
C4ZXB7,hcaD BWG_2306,Bacterial ring-hydroxylating dioxygenase ferredoxin reductase family
C4ZXC6,glyA BWG_2315,SHMT family
C4ZXE2,ghrB BWG_3241,"D-isomer specific 2-hydroxyacid dehydrogenase family, GhrB subfamily"
C4ZXG6,dlgD BWG_3265,"LDH2/MDH2 oxidoreductase family, DlgD subfamily"
C4ZXI2,selA BWG_3281,SelA family
C4ZXJ7,lldD BWG_3296,FMN-dependent alpha-hydroxy acid dehydrogenase family
C4ZXK0,gpsA BWG_3299,NAD-dependent glycerol-3-phosphate dehydrogenase family
C4ZXK8,tdh BWG_3307,Zinc-containing alcohol dehydrogenase family
C4ZXL1,hldD BWG_3310,"NAD(P)-dependent epimerase/dehydratase family, HldD subfamily"
C4ZXM6,coaD BWG_3325,Bacterial CoaD family
C4ZXM7,mutM fpg BWG_3326,FPG family
C4ZXN2,dut BWG_3331,DUTPase family
C4ZXN3,slmA BWG_3332,Nucleoid occlusion factor SlmA family
C4ZXN4,pyrE BWG_3333,"Purine/pyrimidine phosphoribosyltransferase family, PyrE subfamily"
C4ZXP1,rpoZ BWG_3340,RNA polymerase subunit omega family
C4ZXS6,gpmA BWG_0607,"Phosphoglycerate mutase family, BPG-dependent PGAM subfamily"
C4ZXS8,galK BWG_0609,"GHMP kinase family, GalK subfamily"
C4ZXV1,uvrB BWG_0632,UvrB family
C4ZXV3,moaA BWG_0634,"Radical SAM superfamily, MoaA family"
C4ZXY4,dps BWG_0665,Dps family
C4ZY24,rimK BWG_0705,RimK family
C4ZY45,hcp BWG_0726,HCP family
C4ZY85,add BWG_1437,"Metallo-dependent hydrolases superfamily, Adenosine and AMP deaminases family, Adenosine deaminase subfamily"
C4ZY91,rsxB BWG_1443,"4Fe4S bacterial-type ferredoxin family, RnfB subfamily"
C4ZY92,rsxC BWG_1444,"4Fe4S bacterial-type ferredoxin family, RnfC subfamily"
C4ZYA0,tyrS BWG_1452,"Class-I aminoacyl-tRNA synthetase family, TyrS type 1 subfamily"
C4ZYA1,pdxH BWG_1453,Pyridoxamine 5'-phosphate oxidase family
C4ZYA3,anmK BWG_1455,Anhydro-N-acetylmuramic acid kinase family
C4ZYC2,purR BWG_1474,
C4ZYE2,sufS BWG_1494,"Class-V pyridoxal-phosphate-dependent aminotransferase family, Csd subfamily"
C4ZYF4,ydiB BWG_1506,Shikimate dehydrogenase family
C4ZYF5,aroD BWG_1507,Type-I 3-dehydroquinase family
C4ZYG5,ppsR BWG_1517,"Pyruvate, phosphate/water dikinase regulatory protein family, PSRP subfamily"
C4ZYG8,selO BWG_1520,SELO family
C4ZYH1,btuD BWG_1523,"ABC transporter superfamily, Vitamin B12 importer (TC 3.A.1.13.1) family"
C4ZYH6,pheS BWG_1528,"Class-II aminoacyl-tRNA synthetase family, Phe-tRNA synthetase alpha subunit type 1 subfamily"
C4ZYI1,thrS BWG_1533,Class-II aminoacyl-tRNA synthetase family
C4ZYI9,era BWG_2330,"TRAFAC class TrmE-Era-EngA-EngB-Septin-like GTPase superfamily, Era GTPase family"
C4ZYJ0,rnc BWG_2331,Ribonuclease III family
C4ZYJ2,lepA BWG_2333,"TRAFAC class translation factor GTPase superfamily, Classic translation factor GTPase family, LepA subfamily"
C4ZYN2,nadK BWG_2373,NAD kinase family
C4ZYU4,recA BWG_2435,RecA family
C4ZYW9,dgoD BWG_3382,"Mandelate racemase/muconate lactonizing enzyme family, GalD subfamily"
C4ZYX9,dnaA BWG_3392,DnaA family
C4ZYY3,yidC BWG_3396,"OXA1/ALB3/YidC family, Type 1 subfamily"
C4ZYY4,mnmE trmE BWG_3397,"TRAFAC class TrmE-Era-EngA-EngB-Septin-like GTPase superfamily, TrmE GTPase family"
C4ZZ10,atpD BWG_3423,ATPase alpha/beta chains family
C4ZZ12,atpA BWG_3425,ATPase alpha/beta chains family
C4ZZ15,atpE BWG_3428,ATPase C chain family
C4ZZ26,rbsD BWG_3439,"RbsD / FucU family, RbsD subfamily"
C4ZZ41,ilvD BWG_3456,IlvD/Edd family
C4ZZ44,ilvC BWG_3459,Ketol-acid reductoisomerase family
C4ZZ48,rhlB BWG_3463,"DEAD box helicase family, RhlB subfamily"
C4ZZ60,wecF rffT BWG_3475,Glycosyltransferase 56 family
C4ZZ69,hemC BWG_3484,HMBS family
C4ZZ73,dapF BWG_3488,Diaminopimelate epimerase family
C4ZZ74,xerC BWG_3490,"'phage' integrase family, XerC subfamily"
C4ZZ89,chbG BWG_1546,"YdjC deacetylase family, ChbG subfamily"
C4ZZ96,nadE BWG_1553,NAD synthetase family
